ChaChaLoader SHA-256,Filename to load,SHA-256 of file
8da88951322fa7f464c13cb4a173d0c178f5e34a57957c9117b393133dd19925,COMSysUpdate.ocx,d734bda585d4850f16aa1b05bf5e764e96ed59ae0da4f34ef051eb9516fd0d2c
98f6be546c5191b67014e3d0f7f8df86715d970aa326a6a438d0be234daf8841,wlbsctrl.ax,2b5afee8f669fa6be05f61ec711bc231eb7b5e77fd283640da3dd21b1a7f5c2e
02378f64fd1083491cf5558397aae763ff047a5fa9fcaf624d1710b86f440777,google.temp,4e7a6088dbb36b6e63e1922cc5c3e9103207d7769e078f889345af7064d9458b
477882b41e10aef0fcd0d5d33715dfb4eb7f8f3277057978ac77d3ec5914c6f9,KBDTAM131.dll,9245b335018a31c31810bb4f3aca3e65bf5a34053917f1f3540ae7ac3c1f778c
d9d269a199ca0841fc71fef045c3dc5701a5042bea46d05a657b6db43fe55acc,msiltcfg.tlb,adceda3c44ba816f5e8893c8e9923f32ea4f6cb1e6c4a3df1404196bf42eddfd
5c81882af64ad5068ca59d537ea41ee9e1d063689b004a3d6750b0aa62171501,normnfw.nls,a783edae435c6fdf55e937b3246b454ed3b85583184b6ffc1b2faba75c9165cf
9e178bb966f101e8c8ed020fbb2fb5878e2a969f7eaf47bc990f0472e85a3533,systeminfos.tmp,unknown
91aa05e3666c7e2443fc1f0f0142f1829f5ec51e289c95b10811531da50eb2b3,aadauthhelper.dll,unknown
bf34dfb4140c00d23554b03ebb986b2734a2c396877681d526e2ac80b372268a,dec1.dll,unknown
c1b587a922691c7e01db3e57f223fa2b5d2df2121736922ff97141571c550cfc,NTUSERS.DAT,unknown
e009ef76fb9402fe379280ed9c6a4d81748fb259475b9048937f3d7c7f0f0f32,spmsetc.sys,unknown
