Domain,Description
mircoupdate[.]https443[.]net,Red Kelpie Cobalt Strike infrastructure
ns[.]cloud20[.]tk,Red Kelpie Cobalt Strike infrastructure
ns1[.]sunnykkf[.]xyz,Red Kelpie Cobalt Strike infrastructure
ns1[.]freeemails[.]shop,Red Kelpie Cobalt Strike infrastructure
corpsolution[.]net,Red Kelpie Cobalt Strike infrastructure
microsoftbooks[.]dynamic-dns[.]net,Red Kelpie Cobalt Strike infrastructure
letwiki[.]com,Red Kelpie Cobalt Strike infrastructure
tosayoj[.]com,Red Kelpie Cobalt Strike infrastructure
work[.]time12[.]cf,Red Kelpie Cobalt Strike infrastructure
work[.]cloud20[.]tk,Red Kelpie Cobalt Strike infrastructure
ns[.]cloud01[.]tk,Red Kelpie Cobalt Strike infrastructure
work[.]dnsfree[.]ml,Red Kelpie Cobalt Strike infrastructure
work[.]cloud01[.]tk,Red Kelpie Cobalt Strike infrastructure
ns1[.]summerpract[.]biz,Red Kelpie Cobalt Strike infrastructure
sunnykkf[.]xyz,Red Kelpie Cobalt Strike infrastructure
work[.]getdns[.]tk,Red Kelpie Cobalt Strike infrastructure
freeemails[.]shop,Red Kelpie Cobalt Strike infrastructure
service[.]dns22[.]ml,Red Kelpie Cobalt Strike infrastructure
www[.]corpsolution[.]net,Red Kelpie Cobalt Strike infrastructure
www[.]mircoupdate[.]https443[.]net,Red Kelpie Cobalt Strike infrastructure
ns1[.]extrsports[.]ru,Red Kelpie Cobalt Strike infrastructure
24893cb6[.]ns1[.]extrsports[.]ru,Red Kelpie Cobalt Strike infrastructure
cloud20[.]tk,Red Kelpie Cobalt Strike infrastructure
extrsports[.]ru,Red Kelpie Cobalt Strike infrastructure
cloud01[.]tk,Red Kelpie Cobalt Strike infrastructure
ns1[.]mssetting[.]com,Red Kelpie Cobalt Strike infrastructure
summerpract[.]biz,Red Kelpie Cobalt Strike infrastructure
mssetting[.]com,Red Kelpie Cobalt Strike infrastructure
2bc1b4ba[.]ns1[.]mssetting[.]com,Red Kelpie Cobalt Strike infrastructure
